BldgType,BldgLoc,BldgVint,NormUnit,Value,Measure
DMo,Any,Any,Area-ft2-BA,2480,
DMo,Any,Any,Area-ft2,2174.56,Wall Insulation
DMo,Any,Any,Area-ft2,2480,Ceiling Insulation
DMo,Any,Any,kWhreduced,800,Refrigerator/Freezer
Asm,Any,Any,Area-ft2-BA,100002.1,
ECC,Any,Any,Area-ft2-BA,299999.6,
EPr,Any,Any,Area-ft2-BA,50000.14,
ERC,Any,Any,Area-ft2-BA,1920.017,
ESe,Any,Any,Area-ft2-BA,149998.6,
EUn,Any,Any,Area-ft2-BA,930201.4,
Hsp,Any,Any,Area-ft2-BA,235501,
Htl,Any,Any,Area-ft2-BA,139998.9,
MBT,Any,Any,Area-ft2-BA,199999.2,
MLI,Any,Any,Area-ft2-BA,100001.1,
Mtl,Any,Any,Area-ft2-BA,30000.07,
Nrs,Any,Any,Area-ft2-BA,60654.58,
OfL,Any,Any,Area-ft2-BA,174998.9,
OfS,Any,Any,Area-ft2-BA,10000.08,
RFF,Any,Any,Area-ft2-BA,2500.053,
RSD,Any,Any,Area-ft2-BA,5599.957,
Rt3,Any,Any,Area-ft2-BA,120000.5,
RtL,Any,Any,Area-ft2-BA,129997,
RtS,Any,Any,Area-ft2-BA,7999.929,
SCn,Any,Any,Area-ft2-BA,250000.3,
MFm,Any,Any,Area-ft2-BA,24580,
MFm,Any,Any,Area-ft2,5747.061,Wall Insulation
MFm,Any,Any,Area-ft2,24580,Ceiling Insulation
MFm,CZ01,Ex,Cap-Tons,19.45,PTAC / PTHP
MFm,CZ02,Ex,Cap-Tons,22.32,PTAC / PTHP
MFm,CZ03,Ex,Cap-Tons,24.49,PTAC / PTHP
MFm,CZ04,Ex,Cap-Tons,23.49,PTAC / PTHP
MFm,CZ05,Ex,Cap-Tons,23.88,PTAC / PTHP
MFm,CZ06,Ex,Cap-Tons,23.79,PTAC / PTHP
MFm,CZ07,Ex,Cap-Tons,22.48,PTAC / PTHP
MFm,CZ08,Ex,Cap-Tons,27.59,PTAC / PTHP
MFm,CZ09,Ex,Cap-Tons,35.33,PTAC / PTHP
MFm,CZ10,Ex,Cap-Tons,31.18,PTAC / PTHP
MFm,CZ11,Ex,Cap-Tons,36.97,PTAC / PTHP
MFm,CZ12,Ex,Cap-Tons,29.91,PTAC / PTHP
